orbit,original_cells,common_cells,retained_fraction,LST_K_SE_per_10pp,M_W_m2_SE_per_10pp,contributing_blocks,bootstrap_estimable,bootstrap_failed
27963,516781,196090,0.3794450647372872,0.0238773063397695,0.1465817613376315,1643,1000,0
28024,519066,196090,0.3777746953181291,0.028530391271296,0.2263838242507148,1643,1000,0
28706,556672,196090,0.3522541101402621,0.034679197696811,0.2879594633240355,1643,1000,0
28828,556673,196090,0.3522534773556468,0.0308187558500671,0.2299292677912474,1643,1000,0
28909,409964,196090,0.4783102906596677,0.0402374841835319,0.3298547967976835,1643,1000,0
28085,534786,196090,0.3666700324989809,0.0412222927608406,0.3277621706637635,1643,1000,0
28192,550489,196090,0.3562105691485207,0.0285362119458225,0.2223821989140748,1643,1000,0
28970,446517,196090,0.4391546122544046,0.0732348495456715,0.616799265780892,1643,1000,0
29092,553858,196090,0.3540438162850405,0.038804437426043,0.2948155316849739,1643,1000,0
29545,341920,196090,0.5734967243799719,0.0212011831376119,0.1480421418149983,1643,1000,0
29606,556675,196090,0.3522522117932366,0.0227303952557734,0.1693335900813556,1643,1000,0
