orbit,dx_cells,dy_cells,full_support_cells,common_across_alignments_cells,retained_fraction_of_unshifted
28085,0,0,534786,500032,0.9350132576395044
28085,-1,0,533703,500032,0.9350132576395044
28085,1,0,533862,500032,0.9350132576395044
28085,0,-1,533630,500032,0.9350132576395044
28085,0,1,533794,500032,0.9350132576395044
28192,0,0,550489,514983,0.935500981854315
28192,-1,0,549398,514983,0.935500981854315
28192,1,0,549513,514983,0.935500981854315
28192,0,-1,549335,514983,0.935500981854315
28192,0,1,549456,514983,0.935500981854315
28970,0,0,446517,417544,0.9351133327510487
28970,-1,0,445477,417544,0.9351133327510487
28970,1,0,445804,417544,0.9351133327510487
28970,0,-1,445413,417544,0.9351133327510487
28970,0,1,445597,417544,0.9351133327510487
29092,0,0,553858,518134,0.935499712922807
29092,-1,0,552762,518134,0.935499712922807
29092,1,0,552883,518134,0.935499712922807
29092,0,-1,552676,518134,0.935499712922807
29092,0,1,552839,518134,0.935499712922807
29545,0,0,341920,321451,0.9401351193261581
29545,-1,0,341219,321451,0.9401351193261581
29545,1,0,341247,321451,0.9401351193261581
29545,0,-1,341230,321451,0.9401351193261581
29545,0,1,341269,321451,0.9401351193261581
29606,0,0,556675,520767,0.9354955764135268
29606,-1,0,555568,520767,0.9354955764135268
29606,1,0,555699,520767,0.9354955764135268
29606,0,-1,555479,520767,0.9354955764135268
29606,0,1,555644,520767,0.9354955764135268
