city,tile,scenes,raw_scene_valid_cells_in_domain,native_centers_in_domain,overlap_or_seam_cells_excluded,unique_QA_valid_before_context,paired_complete_primary,native_area_m2,ownership,orbit
atlanta,16SFB,2,13059,13517,13490,27,9,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,16SFC,2,87074,91971,82240,9731,4015,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,16SGB,2,54239,59992,698,53674,19106,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,16SGC,1,1258228,1347960,206723,1073508,410340,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,16SGD,1,51977,52418,43826,8420,3717,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,17SKS,1,10025,11517,11517,0,0,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,17SKT,1,480272,530050,383747,130004,46597,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,17SKU,1,49038,49481,46211,3215,1393,4900,whole_footprint_inside_canonical_core_and_UTM_band,27835
atlanta,16SFB,2,14678,13517,13490,27,9,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,16SFC,2,92452,91971,82240,9731,4015,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,16SGB,2,56876,59992,698,53445,18980,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,16SGC,2,1328062,1347960,206723,1125078,429258,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,16SGD,1,51996,52418,43826,8419,3712,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,17SKS,1,11217,11517,11517,0,0,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,17SKT,1,523220,530050,383747,145727,52756,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,17SKU,1,49043,49481,46211,3214,1389,4900,whole_footprint_inside_canonical_core_and_UTM_band,27896
atlanta,16SFB,1,12284,13517,13490,27,9,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,16SFC,1,42512,91971,82240,2562,1137,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,16SGB,1,56803,59992,698,56133,20072,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,16SGC,1,1259892,1347960,206723,1056825,402114,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,16SGD,1,51854,52418,43826,8419,3718,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,17SKS,1,11381,11517,11517,0,0,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,17SKT,1,526857,530050,383747,146001,52819,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,17SKU,1,48901,49481,46211,3211,1388,4900,whole_footprint_inside_canonical_core_and_UTM_band,27916
atlanta,16SFB,2,10367,13517,13490,27,9,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,16SFC,1,21610,91971,82240,1737,709,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,16SGB,2,43816,59992,698,41355,14814,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,16SGC,2,682972,1347960,206723,550748,208005,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,16SGD,1,19594,52418,43826,1805,767,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,17SKS,1,6645,11517,11517,0,0,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,17SKT,2,251095,530050,383747,80140,29434,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,17SKU,2,16342,49481,46211,202,97,4900,whole_footprint_inside_canonical_core_and_UTM_band,28145
atlanta,16SFB,2,13039,13517,13490,27,9,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
atlanta,16SFC,1,34525,91971,82240,1919,795,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
atlanta,16SGB,1,39112,59992,698,38829,13612,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
atlanta,16SGC,1,632503,1347960,206723,509894,190658,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
atlanta,16SGD,1,27924,52418,43826,5055,2385,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
atlanta,17SKS,1,3903,11517,11517,0,0,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
atlanta,17SKT,1,297471,530050,383747,83529,29308,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
atlanta,17SKU,1,27595,49481,46211,1169,527,4900,whole_footprint_inside_canonical_core_and_UTM_band,28598
