city,pass_id,variant,n_cells,n_blocks,contributing_blocks,within_block_Sxx,within_block_variance,residualized_canopy_Sxx,maximum_block_information_share,top_five_block_information_share,effective_information_blocks,maximum_raw_block_information_share,design_rank,residual_degrees_of_freedom,removed_context_terms,bootstrap_requested,bootstrap_estimable,bootstrap_failed,resampling_groups,seed,maximum_slope_design_leverage,LST_K_SE_per_10pp,LST_K_bootstrap_width_95_per_10pp,LST_K_cluster_sandwich_SE_per_10pp,M_W_m2_SE_per_10pp,M_W_m2_bootstrap_width_95_per_10pp,M_W_m2_cluster_sandwich_SE_per_10pp,acquisition_utc,local_solar_hour_inherited_metadata,view_zenith_p95_deg,collection,frozen_25_degree_precision_exception
atlanta,atlanta:27835,paired_primary,485177,7327,7266,27657.221589281144,0.05700439548717508,11462.344493400395,0.0011450677718626056,0.005264548300286894,4565.54593862316,0.0007853309517437088,7,477843,[],1000,1000,0,7327,20260919,0.0012668855429862934,0.006141813220214069,0.024511990281854468,0.006267279381383127,0.039036462330475745,0.15012976320591642,0.03970302333591142,2023-06-03T17:17:40.910000+00:00,11.7090616816,9.8433685303,002,True
atlanta,atlanta:27835,registration_dx-1_dy0,485909,7325,7267,28082.97725823529,0.05779472546965644,11952.846532700933,0.0011319161280541371,0.005382840518003085,4611.43009110641,0.0007402016998832293,7,478577,[],1000,1000,0,7325,20260919,0.0013405479667604988,0.006119935827107721,0.024494402902331014,0.006284632667714914,0.03722225854487551,0.14903364326245594,0.03858185254948521,2023-06-03T17:17:40.910000+00:00,11.7090616816,9.8433685303,002,True
atlanta,atlanta:27835,registration_dx1_dy0,486134,7331,7279,28028.11846531381,0.057655128967144476,12027.974392875836,0.0010528810332662436,0.004858752604500392,4668.411352833814,0.0008007669328525985,7,478796,[],1000,1000,0,7331,20260919,0.0013207766721368855,0.006118857841089093,0.023712362827742778,0.006028894143060219,0.03873419547389809,0.14922586455108777,0.03845756324333801,2023-06-03T17:17:40.910000+00:00,11.7090616816,9.8433685303,002,True
atlanta,atlanta:27835,registration_dx0_dy-1,485567,7325,7258,28039.735282083606,0.05774637749699548,11978.309195740076,0.001166360359094126,0.0052972343864334135,4619.727843630989,0.00079843341066795,7,478235,[],1000,1000,0,7325,20260919,0.0012731657847351709,0.005997089925652099,0.02401966321321075,0.006108969561343687,0.03681580174756774,0.1440259165096618,0.03798332867799754,2023-06-03T17:17:40.910000+00:00,11.7090616816,9.8433685303,002,True
atlanta,atlanta:27835,registration_dx0_dy1,486276,7336,7264,28074.124755828438,0.057732902211559765,12039.473991230567,0.0010695449487140446,0.004957148256982499,4680.675758666722,0.0007551187750559536,7,478933,[],1000,1000,0,7336,20260919,0.0012878989589456677,0.0061168166046837065,0.02318370561501515,0.005991621672922817,0.03940502707761844,0.15110754126954573,0.03841884346527264,2023-06-03T17:17:40.910000+00:00,11.7090616816,9.8433685303,002,True
atlanta,atlanta:27835,spatial_2km,485177,7327,7266,27657.221589281144,0.05700439548717508,11462.344493400395,0.0011450677718626056,0.005264548300286894,4565.54593862316,0.0007853309517437088,7,477843,[],1000,1000,0,2015,20260919,0.001266885542986293,0.007384117596878296,0.028465856717132643,0.007625996037583516,0.046987908820546695,0.18647354040179165,0.04903590608495884,2023-06-03T17:17:40.910000+00:00,11.7090616816,9.8433685303,002,True
atlanta,atlanta:27896,paired_primary,510119,7557,7501,29378.58761517817,0.0575916357069197,12208.404707411017,0.0010795010528227471,0.004884562661900468,4800.166724858053,0.0007393164177189833,7,502555,[],1000,1000,0,7557,20260919,0.0011780312362900376,0.0042693772217049725,0.016788446047373645,0.004372252374595989,0.026275145966978445,0.1038117563932619,0.027544764966729342,2023-06-07T15:39:07.020000+00:00,10.055194399,19.7119617462,002,True
atlanta,atlanta:27896,registration_dx-1_dy0,510831,7554,7505,29796.799193936436,0.05833005278445599,12717.42568280187,0.0010457826537683345,0.0050078011567281505,4843.62991343173,0.0006976275327102228,7,503270,[],1000,1000,0,7554,20260919,0.0012608337375694043,0.004342682773176395,0.01706064615127828,0.004339567143437337,0.02731211087776165,0.10620856959398761,0.027102557172296378,2023-06-07T15:39:07.020000+00:00,10.055194399,19.7119617462,002,True
atlanta,atlanta:27896,registration_dx1_dy0,511079,7563,7512,29729.173151411225,0.05816942811465786,12769.716373654257,0.0009956993694335426,0.004507096912070415,4905.51690778413,0.0007549483580586303,7,503509,[],1000,1000,0,7563,20260919,0.0012193093893626233,0.004175504831600421,0.016259106264167794,0.004247071632884097,0.02648328737761282,0.10471697947686742,0.026389497696697697,2023-06-07T15:39:07.020000+00:00,10.055194399,19.7119617462,002,True
atlanta,atlanta:27896,registration_dx0_dy-1,510449,7557,7503,29754.423855142984,0.05829068889378368,12747.863986343891,0.0010277010137626614,0.004853067461322894,4856.63740701706,0.0007524212730346912,7,502885,[],1000,1000,0,7557,20260919,0.0011801250878751303,0.004422562218736279,0.01705927319377526,0.00430153629153223,0.027576906461850646,0.10752335054525441,0.02677647159347854,2023-06-07T15:39:07.020000+00:00,10.055194399,19.7119617462,002,True
