city,orbit,boundary_km,cross_boundary_neighbor_pairs,interpretation,LST_K_residual_cross_boundary_correlation,M_W_m2_residual_cross_boundary_correlation
atlanta,27835,1,41656,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4469139840185745,0.43135811979368016
atlanta,27835,2,20570,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.445860923231093,0.43303415008171886
atlanta,27896,1,43756,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.48376423738133134,0.48286438201126863
atlanta,27896,2,21669,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.5067513123917123,0.5056795415880068
atlanta,27916,1,41157,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.45493915694626236,0.4898004506010505
atlanta,27916,2,20395,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.46139399604756526,0.49902845014685615
atlanta,28145,1,21132,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4605648675071347,0.48486834779750615
atlanta,28145,2,10390,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4699404696342989,0.49576801115871566
atlanta,28598,1,19752,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4595464466218625,0.45881446161240297
atlanta,28598,2,9857,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4618192695174399,0.462378230658713
