city,tile,scenes,raw_scene_valid_cells_in_domain,native_centers_in_domain,overlap_or_seam_cells_excluded,unique_QA_valid_before_context,paired_complete_primary,native_area_m2,ownership,orbit
phoenix,12SUB,2,39641,47917,25203,19592,19173,4900,whole_footprint_inside_canonical_core_and_UTM_band,27963
phoenix,12SUC,1,256605,270608,100796,164313,160234,4900,whole_footprint_inside_canonical_core_and_UTM_band,27963
phoenix,12SVB,2,196052,210528,808,187503,169642,4900,whole_footprint_inside_canonical_core_and_UTM_band,27963
phoenix,12SVC,2,270382,282044,97163,173591,167732,4900,whole_footprint_inside_canonical_core_and_UTM_band,27963
phoenix,12SUB,1,47847,47917,25203,22644,22031,4900,whole_footprint_inside_canonical_core_and_UTM_band,28024
phoenix,12SUC,1,270530,270608,100796,169808,165341,4900,whole_footprint_inside_canonical_core_and_UTM_band,28024
phoenix,12SVB,1,164253,210528,808,163445,154117,4900,whole_footprint_inside_canonical_core_and_UTM_band,28024
phoenix,12SVC,1,274208,282044,97163,184091,177577,4900,whole_footprint_inside_canonical_core_and_UTM_band,28024
phoenix,12SUB,2,51605,47917,25203,22652,22037,4900,whole_footprint_inside_canonical_core_and_UTM_band,28706
phoenix,12SUC,2,291303,270608,100796,169812,165345,4900,whole_footprint_inside_canonical_core_and_UTM_band,28706
phoenix,12SVB,2,225890,210528,808,209720,190935,4900,whole_footprint_inside_canonical_core_and_UTM_band,28706
phoenix,12SVC,2,289769,282044,97163,184881,178355,4900,whole_footprint_inside_canonical_core_and_UTM_band,28706
phoenix,12SUB,2,47856,47917,25203,22653,22038,4900,whole_footprint_inside_canonical_core_and_UTM_band,28828
phoenix,12SUC,2,270545,270608,100796,169812,165345,4900,whole_footprint_inside_canonical_core_and_UTM_band,28828
phoenix,12SVB,2,210528,210528,808,209720,190935,4900,whole_footprint_inside_canonical_core_and_UTM_band,28828
phoenix,12SVC,1,282044,282044,97163,184881,178355,4900,whole_footprint_inside_canonical_core_and_UTM_band,28828
phoenix,12SUB,1,12629,47917,25203,0,0,4900,whole_footprint_inside_canonical_core_and_UTM_band,28909
phoenix,12SUC,1,175948,270608,100796,110771,107434,4900,whole_footprint_inside_canonical_core_and_UTM_band,28909
phoenix,12SVB,1,152194,210528,808,151732,137159,4900,whole_footprint_inside_canonical_core_and_UTM_band,28909
phoenix,12SVC,1,245330,282044,97163,170807,165371,4900,whole_footprint_inside_canonical_core_and_UTM_band,28909
