city,orbit,boundary_km,cross_boundary_neighbor_pairs,interpretation,LST_K_residual_cross_boundary_correlation,M_W_m2_residual_cross_boundary_correlation
phoenix,27963,1,68928,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4948367176442479,0.5381547252742674
phoenix,27963,2,33545,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4920967078722248,0.5384335622118203
phoenix,28024,1,69541,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4304376124318606,0.460983449409769
phoenix,28024,2,33740,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.41019737776130427,0.44534325418361126
phoenix,28706,1,74855,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.49996197879587756,0.5434979603276733
phoenix,28706,2,36353,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.48314512143682353,0.5338845429325318
phoenix,28828,1,74855,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4969692720318953,0.5544335005973371
phoenix,28828,2,36353,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4889219324773744,0.5496433327749003
phoenix,28909,1,54652,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.42570508899968124,0.44252619078599187
phoenix,28909,2,26823,cardinal_neighbor_dependence_not_a_pvalue_or_effect_sign,0.4210006285219682,0.44551268538859273
