year_month,orbit,native_cells,common_native_cells_all_stratum_passes,retained_fraction_on_common_cells,contributing_common_blocks,common_within_block_Sxx
2019-08,6281,556673,556669,0.9999928144530092,3235,427.2154846191406
2019-08,6510,556675,556669,0.9999892217182378,3235,427.2154846191406
2023-06,27963,516781,510956,0.9887283007695716,3217,367.2200012207031
2023-06,28192,550489,510956,0.9281856676518514,3217,367.2200012207031
2023-08,28828,556673,407477,0.7319862827907946,2735,317.2028503417969
2023-08,28909,409964,407477,0.9939336136831527,2735,317.2028503417969
2023-08,29092,553858,407477,0.7357066251638507,2735,317.2028503417969
2024-06,33496,556673,556404,0.9995167719648699,3235,427.066162109375
2024-06,33623,556409,556404,0.9999910138045934,3235,427.066162109375
2025-08,40111,556677,451239,0.8105939350826422,2840,345.1681823730469
2025-08,40192,502864,451239,0.8973380476629864,2840,345.1681823730469
2025-08,40376,496066,451239,0.9096350082448706,2840,345.1681823730469
