city,design,seed,eligible_blocks,sampled_blocks,valid_blocks,sampled_Sxx,sampled_within_block_variance,median_block_variance,max_block_information_share,block_variance_quantiles,sampled_mean_canopy,retrieved_utc,period_utc,CMR_bbox_hits,CMR_rows_received,pages,intersecting_granules_before_revision_dedup,unique_passes,morning_0930_1130_passes,afternoon_1500_1800_passes,afternoon_months,afternoon_tile_mean_cloud_pct_median,afternoon_passes_with_cloud_metadata,limitation,afternoon_cloud_screened_passes,median_sample_point_coverage,median_clear_fraction_of_observed,median_clear_fraction_of_all_points,summed_clear_area_equivalent_passes,cloud_asset_failures,canopy_screen_q025,canopy_screen_q975,variance_relative_to_phoenix,status
raleigh,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,1456,300,300,24377.613434918145,0.0845883925414678,0.0866344460229477,0.0072658868405506,"[0.017698369554645023, 0.051502545276250915, 0.0866344460229477, 0.11753123488075239, 0.17537126798099306]",0.4538214885493512,2026-09-21T17:46:27.785725+00:00,2023-06-01/2023-09-30,524,524,1,378,71,7,8,"['06', '07', '08']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",8,1.0,0.9516666666666667,0.63,4.4366666666666665,0,0.08148995123663394,0.0878343050589303,53.22646118535648,provisional nonthermal screen; 2023 only; no final eligibility ruling
atlanta,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,6721,300,300,24537.246892281404,0.0830105242776577,0.0833194523207994,0.0062935042183777,"[0.005923702369959966, 0.05523771089944245, 0.08331945232079949, 0.11220405219415375, 0.14005927790908176]",0.432574655948645,2026-09-21T17:46:26.485049+00:00,2023-06-01/2023-09-30,1138,1138,1,1034,90,9,8,"['06', '07', '08', '09']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",8,0.995,0.9616666666666667,0.3966666666666666,3.76,0,0.08025002881728445,0.08576586799864179,52.23360222000704,provisional nonthermal screen; 2023 only; no final eligibility ruling
charlotte,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,1722,300,300,20791.411909027483,0.0718940919069398,0.0707437448651042,0.0063728367283857,"[0.0010177182249817278, 0.04314308002203501, 0.07074374486510429, 0.10418044354315982, 0.13744841644071257]",0.3868003058176905,2026-09-21T17:46:26.474106+00:00,2023-06-01/2023-09-30,581,581,1,581,75,6,7,"['06', '07', '08', '09']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",7,0.96,0.8366666666666667,0.5566666666666666,3.2333333333333334,0,0.06904541326071088,0.07463135131563743,45.23869029034017,provisional nonthermal screen; 2023 only; no final eligibility ruling
boston,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,4449,300,300,20395.704897844804,0.0635821922950984,0.0621968788274921,0.008787939803931,"[0.004313679659267823, 0.03230568225722385, 0.06219687882749213, 0.09518404548203435, 0.1550486391877181]",0.5048853424871699,2026-09-21T17:46:30.448852+00:00,2023-06-01/2023-09-30,378,378,1,378,53,5,5,"['06', '07', '08', '09']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",5,0.9233333333333332,0.0066666666666666,0.0066666666666666,1.7799999999999998,0,0.06067270780943597,0.06667290865172161,40.00850457840137,provisional nonthermal screen; 2023 only; no final eligibility ruling
baltimore,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,1753,300,300,17610.458878059897,0.0552823182121137,0.0553189037941864,0.0080882892291829,"[0.0009494719405260407, 0.018194592644008835, 0.055318903794186476, 0.09467122535753866, 0.13152214668917858]",0.3783153059911666,2026-09-21T17:46:28.160254+00:00,2023-06-01/2023-09-30,123,123,1,123,52,3,7,"['06', '07', '09']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",7,1.0,0.7533333333333333,0.7533333333333333,4.983333333333333,0,0.05220024551900832,0.05846973582723284,34.78588581892133,provisional nonthermal screen; 2023 only; no final eligibility ruling
washington,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,3420,300,300,16784.969515760225,0.0542010123862058,0.0535783853068936,0.0097365558226548,"[0.0023985592502154527, 0.024945246677328718, 0.05357838530689367, 0.08518045383246858, 0.14223480650283646]",0.4120375979970694,2026-09-21T17:46:28.746804+00:00,2023-06-01/2023-09-30,767,767,1,767,75,7,9,"['06', '07', '08', '09']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",9,0.9833333333333332,0.94,0.6233333333333333,5.35,0,0.051361823248922404,0.0570921539886264,34.10548416045534,provisional nonthermal screen; 2023 only; no final eligibility ruling
philadelphia,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,5008,300,300,16917.51348759581,0.0541577062428037,0.0544632152311095,0.0082598057068988,"[0.0, 0.019222978685389983, 0.054463215231109564, 0.0937881166227031, 0.13641583033240992]",0.3577087838641539,2026-09-21T17:46:29.312178+00:00,2023-06-01/2023-09-30,371,371,1,371,65,3,6,"['06', '07']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",6,0.9316666666666666,1.0,0.38,2.993333333333333,0,0.0508524410441895,0.05725323033818323,34.07823417151922,provisional nonthermal screen; 2023 only; no final eligibility ruling
new_york,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,8956,300,300,14269.476609442518,0.0440546477025369,0.0442255678860306,0.0120020733108162,"[7.462355928781256e-05, 0.0074698440640635355, 0.044225567886030645, 0.0818940949127005, 0.14751361272481223]",0.3668582438457138,2026-09-21T17:46:31.864301+00:00,2023-06-01/2023-09-30,1187,1187,1,793,80,6,7,"['06', '07', '08']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",7,0.9966666666666668,0.7865105908584169,0.3533333333333333,2.963333333333333,0,0.040728299654593424,0.047553531124475086,27.720978322458443,provisional nonthermal screen; 2023 only; no final eligibility ruling
minneapolis_st_paul,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,2787,300,300,11846.257286921084,0.0381866329924604,0.0368396374078491,0.0127153612197686,"[0.0011249629826186795, 0.009177995591954737, 0.036839637407849124, 0.07104895761346113, 0.13413129163447762]",0.2716999971476495,2026-09-21T17:46:27.590099+00:00,2023-06-01/2023-09-30,678,678,1,678,92,6,11,"['06', '07', '08', '09']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",11,1.0,1.0,0.3266666666666666,5.1899999999999995,0,0.035425400041477366,0.04090981183875672,24.028584510294767,provisional nonthermal screen; 2023 only; no final eligibility ruling
seattle,seeded_300_1km_blocks_at_least_50pct_urban_area_30m_stable_Science_TCC_not_yet_ECOSTRESS_pass_mask,20260919,2678,300,300,11919.481503397958,0.0366725067407059,0.0378398761586925,0.0093736295286821,"[1.684915166728979e-07, 0.01003924821971678, 0.03783987615869259, 0.061337856309083165, 0.09525047211153632]",0.3177805943878089,2026-09-21T17:46:37.310334+00:00,2023-06-01/2023-09-30,406,406,1,406,96,5,14,"['06', '07', '08', '09']",,0,"CMR tile cloud metadata is not urban-domain clear fraction; no view-angle, full-domain coverage or usable-cell certification; windows are descriptive summaries, not selection gates.",14,1.0,1.0,0.9483333333333333,10.69,0,0.034336908370576354,0.03887158128371604,23.075834614625197,provisional nonthermal screen; 2023 only; no final eligibility ruling
