orbit,acquisition_utc,tiles,granules,local_date,clock_MST,year,month,year_month,solar_hour,time_window,l1b_view_zenith_abs_p95_deg,l1b_geometry_coverage_fraction,geometry_definitive,scene_source_evidence_sha256,geometry_status,pilot_geometry_eligible,strict15_geometry_eligible,previously_processed_2023,clear_domain_fraction,cloud_asset_complete,cloud_asset_set_sha256,balanced_arm_weight,balanced_season_supported,role,balanced_design_weight
27963,2023-06-11 23:39:53.676000+00:00,4,7,2023-06-11,16:39:53,2023,6,2023-06,16.2123134211585,afternoon,10.77701473236084,1.0,True,a18c552adce628608fbc0b83ebbf03256f03c08ce81ae6a2d6669e0de45921dd,verified,True,True,True,0.9281899170285202,True,2940ee308e1881d8025dc20e63169bdf809fb5550119b48217a1b983a0657cbb,0.5,True,balanced_window_comparison,0.25
28024,2023-06-15 22:00:38.485000+00:00,4,4,2023-06-15,15:00:38,2023,6,2023-06,14.54451176503197,middle,14.95167350769043,1.0,True,5df7afb14ccdc3ab31093a5825f6bea37c88c1a2fe12a25a3f8cbb2d0cc52283,verified,True,True,True,0.9200235799373466,True,456a1738b876ba7582a379904bae0903e46e88d4d4494737f0626e64c776616f,0.0,True,within_supported_season_middle_time,0.0
28085,2023-06-19 20:22:32.959000+00:00,4,6,2023-06-19,13:22:32,2023,6,2023-06,12.895333880896406,middle,22.339359283447266,1.0,True,9080fb9e092884d399e1735789cb395f0bba9a457f57ed968023d55f091b840c,verified,True,False,True,,,,0.0,True,within_supported_season_middle_time,0.0
28192,2023-06-26 17:55:48.103000+00:00,4,5,2023-06-26,10:55:48,2023,6,2023-06,10.424714143569975,morning,22.747732162475582,1.0,True,8751fa8469fb13ee7d8b28d11afe8159121b2c856d970918dd1045b457a8c9c0,verified,True,False,True,,,,0.5,True,balanced_window_comparison,0.25
28706,2023-07-29 20:53:03.783000+00:00,4,8,2023-07-29,13:53:03,2023,7,2023-07,13.310420459086169,middle,10.859678268432615,1.0,True,f411d4fb725384514734face2bbca004ef84261ab10ef8e873cd77ed5a107151,verified,True,True,True,1.0,True,f6579e1b780c66269250c215437d0e9fb447c8ee24bbb8df42bbbcafc111bb28,0.0,False,descriptive_only_unmatched_season,0.0
28828,2023-08-06 17:39:15.616000+00:00,4,7,2023-08-06,10:39:15,2023,8,2023-08,10.087785214226944,morning,19.06538200378418,1.0,True,1f352f21ba85717db362e94d993983a72d7bc345354376fa0fb12d0d9f8b57f6,verified,True,False,True,1.0,True,70147138fd9b69a89ae0ef90ebd0fa72f547930c54f1f5bb55ebcb24c59915b0,0.25,True,balanced_window_comparison,0.125
28909,2023-08-11 23:22:47.462000+00:00,4,4,2023-08-11,16:22:47,2023,8,2023-08,15.824321529453329,afternoon,18.664325714111328,1.0,True,30622456fda5098dd2561a5f91272c93b054387bef8847fcd1f0b5d01edfab9f,verified,True,False,True,0.7375729652960403,True,4b317f275889435355adc5506633aafd79f7616a7f05869a36e92dde2f3c5f60,0.5,True,balanced_window_comparison,0.25
28970,2023-08-15 21:48:28.574000+00:00,4,6,2023-08-15,14:48:28,2023,8,2023-08,14.263747371500628,middle,19.12088394165039,1.0,True,90661b4f8a4402b29dbf1489e77415972ae82e347c7d24aa5c0b785b072d72ed,verified,True,False,True,0.8030344729170489,True,52c7c9f4cbad312aa936aecf8f53727f0f278247fb9dc6d7fc5279644d5d7793,0.0,True,within_supported_season_middle_time,0.0
29092,2023-08-23 18:38:59.162000+00:00,4,7,2023-08-23,11:38:59,2023,8,2023-08,11.135917061966271,morning,24.36393165588379,1.0,True,0554cd67752575c6d93ae56e7c5f9c511e0650d4bf31b6e6f0a47f6617a55f45,verified,True,False,True,,,,0.25,True,balanced_window_comparison,0.125
29545,2023-09-21 23:20:50.387000+00:00,4,5,2023-09-21,16:20:50,2023,9,2023-09,16.001056795909463,afternoon,21.683624267578125,1.0,True,b6ade92b527445265f98346ab3e1a52da42975a5058e98cabfb47b91bbea849b,verified,True,False,True,,,,0.0,False,descriptive_only_unmatched_season,0.0
29606,2023-09-25 21:45:42.930000+00:00,4,4,2023-09-25,14:45:42,2023,9,2023-09,14.439552243409851,middle,24.97671127319336,1.0,True,f32c87bad611157159e10e3373029b8b126600cec7e2414598c505cc5089bf14,verified,True,False,True,,,,0.0,False,descriptive_only_unmatched_season,0.0
