year,month,time_window,catalogue_passes,geometry25_passes,geometry15_passes,processed11_passes
2019,6,morning,2,0,0,0
2019,6,middle,6,2,1,0
2019,6,afternoon,2,2,0,0
2019,6,outside,13,0,0,0
2019,7,morning,1,1,1,0
2019,7,middle,0,0,0,0
2019,7,afternoon,4,0,0,0
2019,7,outside,15,0,0,0
2019,8,morning,3,1,1,0
2019,8,middle,6,1,0,0
2019,8,afternoon,3,1,1,0
2019,8,outside,10,0,0,0
2019,9,morning,1,0,0,0
2019,9,middle,1,0,0,0
2019,9,afternoon,3,2,1,0
2019,9,outside,18,0,0,0
2020,6,morning,4,1,0,0
2020,6,middle,6,2,0,0
2020,6,afternoon,4,0,0,0
2020,6,outside,12,0,0,0
2020,7,morning,0,0,0,0
2020,7,middle,1,1,0,0
2020,7,afternoon,3,0,0,0
2020,7,outside,10,0,0,0
2020,8,morning,5,0,0,0
2020,8,middle,5,2,1,0
2020,8,afternoon,3,0,0,0
2020,8,outside,11,0,0,0
2020,9,morning,0,0,0,0
2020,9,middle,2,1,0,0
2020,9,afternoon,4,1,0,0
2020,9,outside,17,0,0,0
2021,6,morning,5,1,0,0
2021,6,middle,7,2,0,0
2021,6,afternoon,1,0,0,0
2021,6,outside,11,0,0,0
2021,7,morning,0,0,0,0
2021,7,middle,2,1,0,0
2021,7,afternoon,3,0,0,0
2021,7,outside,19,0,0,0
2021,8,morning,5,2,0,0
2021,8,middle,5,3,2,0
2021,8,afternoon,1,1,1,0
2021,8,outside,9,0,0,0
2021,9,morning,0,0,0,0
2021,9,middle,1,0,0,0
2021,9,afternoon,3,1,0,0
2021,9,outside,22,0,0,0
2022,6,morning,3,1,0,0
2022,6,middle,6,2,0,0
2022,6,afternoon,1,0,0,0
2022,6,outside,8,0,0,0
2022,7,morning,0,0,0,0
2022,7,middle,1,1,1,0
2022,7,afternoon,3,2,0,0
2022,7,outside,16,0,0,0
2022,8,morning,3,1,0,0
2022,8,middle,5,2,0,0
2022,8,afternoon,3,1,0,0
2022,8,outside,13,0,0,0
2022,9,morning,0,0,0,0
2022,9,middle,2,0,0,0
2022,9,afternoon,1,1,1,0
2022,9,outside,15,0,0,0
2023,6,morning,5,1,0,1
2023,6,middle,5,2,1,2
2023,6,afternoon,2,1,1,1
2023,6,outside,11,0,0,0
2023,7,morning,0,0,0,0
2023,7,middle,2,1,1,1
2023,7,afternoon,1,0,0,0
2023,7,outside,12,0,0,0
2023,8,morning,5,2,0,2
2023,8,middle,3,1,0,1
2023,8,afternoon,2,1,0,1
2023,8,outside,11,0,0,0
2023,9,morning,0,0,0,0
2023,9,middle,3,1,0,1
2023,9,afternoon,2,1,0,1
2023,9,outside,9,0,0,0
2024,6,morning,1,1,0,0
2024,6,middle,3,1,1,0
2024,6,afternoon,2,1,0,0
2024,6,outside,8,0,0,0
2024,7,morning,0,0,0,0
2024,7,middle,2,1,0,0
2024,7,afternoon,2,1,0,0
2024,7,outside,8,0,0,0
2024,8,morning,2,0,0,0
2024,8,middle,3,0,0,0
2024,8,afternoon,0,0,0,0
2024,8,outside,7,0,0,0
2024,9,morning,0,0,0,0
2024,9,middle,3,0,0,0
2024,9,afternoon,3,2,0,0
2024,9,outside,8,0,0,0
2025,6,morning,4,2,0,0
2025,6,middle,3,2,0,0
2025,6,afternoon,3,0,0,0
2025,6,outside,13,0,0,0
2025,7,morning,1,0,0,0
2025,7,middle,3,1,0,0
2025,7,afternoon,2,0,0,0
2025,7,outside,6,0,0,0
2025,8,morning,5,2,0,0
2025,8,middle,4,2,1,0
2025,8,afternoon,4,1,0,0
2025,8,outside,14,0,0,0
2025,9,morning,0,0,0,0
2025,9,middle,2,1,1,0
2025,9,afternoon,3,1,0,0
2025,9,outside,6,0,0,0
